,question,student answer,model answer,score,correct
502,How does the compiler handle inline functions?,Expands the function into the program,It makes a copy of the function code in every place where a function call is made.,4.0,1
503,How does the compiler handle inline functions?,it generates a copy of the functions code in place to avoid a function call,It makes a copy of the function code in every place where a function call is made.,5.0,1
504,How does the compiler handle inline functions?,the function call will be replaced by the code that was defined in the inline function,It makes a copy of the function code in every place where a function call is made.,5.0,1
505,How does the compiler handle inline functions?,"When the compiler inline-expands a function call, the function 's code gets inserted into the caller 's code streamconceptually similar to what happens with a define macro. This can, depending on a zillion other things, improve performance, because the optimizer can procedurally integrate the called code optimize the called code into the caller.",It makes a copy of the function code in every place where a function call is made.,4.5,1
506,What is the main advantage associated with function arguments that are passed by reference?,Overall the program has better performancemeans it is fasterbecause it does not have to copy large amounts of data.,It avoids making copies of large data structures when calling functions.,5.0,1
507,What is the main advantage associated with function arguments that are passed by reference?,because you cannot change the original and passing by reference limits memory needed for the program.,It avoids making copies of large data structures when calling functions.,4.5,1
508,What is the main advantage associated with function arguments that are passed by reference?,Passing by reference can eliminate the pass-by-value overhead of copying large amounts of data.,It avoids making copies of large data structures when calling functions.,5.0,1
509,What is the main advantage associated with function arguments that are passed by reference?,"It is often more efficient to pass references, rather than large objects, to functions. This allows the compiler to pass the address of the object while maintaining the syntax that would have been used to access the object.",It avoids making copies of large data structures when calling functions.,5.0,1
510,What is the main advantage associated with function arguments that are passed by reference?,"Pass by reference is good for performance reasons, because it can eliminate the pass by value overhead of copying large amounts of data.",It avoids making copies of large data structures when calling functions.,5.0,1
511,What is the main advantage associated with function arguments that are passed by reference?,You do not alter the original value of the variable that was passed.,It avoids making copies of large data structures when calling functions.,3.0,0
512,What is the main advantage associated with function arguments that are passed by reference?,Do not have to make copies of stuff.,It avoids making copies of large data structures when calling functions.,4.5,1
513,What is the main advantage associated with function arguments that are passed by reference?,you do not use unessesary memory space to copy variables between functions,It avoids making copies of large data structures when calling functions.,5.0,1
514,What is the main advantage associated with function arguments that are passed by reference?,It elimitates the need to copy large amonts of data,It avoids making copies of large data structures when calling functions.,5.0,1
515,What is the main advantage associated with function arguments that are passed by reference?,The function can change the data stored in a variable passed by reference directly.,It avoids making copies of large data structures when calling functions.,3.5,0
516,What is the main advantage associated with function arguments that are passed by reference?,Gives called function the ability to access and modify the caller s argument data.,It avoids making copies of large data structures when calling functions.,3.5,0
517,What is the main advantage associated with function arguments that are passed by reference?,Gives called function the ability to access and modify the caller s argument data directly.,It avoids making copies of large data structures when calling functions.,3.5,0
518,What is the main advantage associated with function arguments that are passed by reference?,It is more efficient and it changes the variable not online inside the function but outside so that the new value can be used elsewhere.,It avoids making copies of large data structures when calling functions.,3.0,0
519,What is the main advantage associated with function arguments that are passed by reference?,you do not make another copy and waste memory,It avoids making copies of large data structures when calling functions.,5.0,1
520,What is the main advantage associated with function arguments that are passed by reference?,"Passing by reference eliminates the copying of large amounts of data, typical with pass by value.",It avoids making copies of large data structures when calling functions.,5.0,1
521,What is the main advantage associated with function arguments that are passed by reference?,"If a function 's arguments are large in size, computing time and memory space is not wasted copying down the argument and passing it to the function. Also pass by reference gives the function called the permission to read edit the argument directly.",It avoids making copies of large data structures when calling functions.,5.0,1
522,What is the main advantage associated with function arguments that are passed by reference?,"Gives access to the caller data directly, also it allows for modifying the data.",It avoids making copies of large data structures when calling functions.,3.5,0
523,What is the main advantage associated with function arguments that are passed by reference?,"less overhead overall, and you modify the variable directly.",It avoids making copies of large data structures when calling functions.,3.5,0
524,What is the main advantage associated with function arguments that are passed by reference?,The original variable being referenced can be modified directly by the called function.,It avoids making copies of large data structures when calling functions.,3.0,0
525,What is the main advantage associated with function arguments that are passed by reference?,gives function ability to access and modify the caller 's argument data directly,It avoids making copies of large data structures when calling functions.,3.5,0
526,What is the main advantage associated with function arguments that are passed by reference?,Gives the called function the ability to access and modify the caller 's argument data directly.,It avoids making copies of large data structures when calling functions.,3.0,0
527,What is the main advantage associated with function arguments that are passed by reference?,"Less overhead than passed by value, especially when using large numbers.",It avoids making copies of large data structures when calling functions.,3.5,0
528,What is the main advantage associated with function arguments that are passed by reference?,"large data items can be passed without copying the entire data point, reducing execution time and the amout of memory space needed",It avoids making copies of large data structures when calling functions.,5.0,1
529,What is the main advantage associated with function arguments that are passed by reference?,The data can be modified directly instead of making a copy of the data. Improves execution time with large amounts of data.,It avoids making copies of large data structures when calling functions.,4.0,1
530,What is the main advantage associated with function arguments that are passed by reference?,Functions can directly modify arguments that are passed by reference.,It avoids making copies of large data structures when calling functions.,3.5,0
531,What is the main advantage associated with function arguments that are passed by reference?,It gives access and modify the caller 's argument data directly. It eliminate the pass by value overhead of copying large amounts ofdata,It avoids making copies of large data structures when calling functions.,5.0,1
532,What is the main advantage associated with function arguments that are passed by reference?,"it takes less memory, thus it would make the program faster",It avoids making copies of large data structures when calling functions.,4.0,1
533,What is the main advantage associated with function arguments that are passed by reference?,You are able to modify the variable that is referenced directly.,It avoids making copies of large data structures when calling functions.,3.5,0
534,What is the main advantage associated with function arguments that are passed by reference?,"if you pass by reference, you can modify the value as opposed to passing by value where you cannot change the value",It avoids making copies of large data structures when calling functions.,3.5,0
535,What is the main advantage associated with function arguments that are passed by reference?,"only the memory address is sent to the function, so no copy of the object sent needs to be made. It makes the function run faster, and saves memory.",It avoids making copies of large data structures when calling functions.,5.0,1
536,What is the main advantage associated with function arguments that are passed by reference?,"Actual arguments are associated with dummy arguments when a function or subroutine is referenced. In a procedure reference, the actual argument list identifies the correspondence between the actual arguments provided in the list and the dummy arguments of the subprogram",It avoids making copies of large data structures when calling functions.,3.0,0
537,How are overloaded functions differentiated by the compiler?,"The compiler selects the proper functions to execute based on number, types and order of arguments in the function call.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
538,How are overloaded functions differentiated by the compiler?,They differentiated by the compiler by the conditions or inputs used for one of the overloaded functions.,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",3.0,0
539,How are overloaded functions differentiated by the compiler?,"The compiler distinguishes overloaded functions by their signatures. It encodes each function identifier with the number and types of its parameters to generate type-safe linkage, which ensures the proper overloaded function is called.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
540,How are overloaded functions differentiated by the compiler?,"Overloaded functions are distinguished by their signatures, Name mangling or name decoration, and type-safe linkage ensures that proper overloaded functions is called and types of the arguments conform to tpes to the parameters.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
541,How are overloaded functions differentiated by the compiler?,"The compiler selects proper function to execute based on number, types and order of arguments in the function call.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
542,How are overloaded functions differentiated by the compiler?,"By the type they are initilized withint, char, etc.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",3.0,0
543,How are overloaded functions differentiated by the compiler?,"It selects the proper function to execute based on number, types and order of arguments in the function call.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
544,How are overloaded functions differentiated by the compiler?,overloaded functions must have the same return type but different input parameters,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",3.0,0
545,How are overloaded functions differentiated by the compiler?,"It examines the names, types, and order of arguments on each function.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
546,How are overloaded functions differentiated by the compiler?,unique function signatures,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
547,How are overloaded functions differentiated by the compiler?,"Is based on number, types, and order of arguments in the function call.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
548,How are overloaded functions differentiated by the compiler?,"Compiler selects proper function to execute based on number, types and order of arguments in the function call.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
549,How are overloaded functions differentiated by the compiler?,not answered,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",0.0,0
550,How are overloaded functions differentiated by the compiler?,"they have to have same return type, but different input parameters","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",3.0,0
551,How are overloaded functions differentiated by the compiler?,Overloaded functions are differentiated by their parameters.,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",4.5,1
552,How are overloaded functions differentiated by the compiler?,"The compiler selects the right function to execute from the number, types and order of arguments in the function call.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
553,How are overloaded functions differentiated by the compiler?,it creates a set of candidate functions then a set of viable functions,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",3.0,0
554,How are overloaded functions differentiated by the compiler?,their function signature.,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
555,How are overloaded functions differentiated by the compiler?,The number and type of its parameters.,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
556,How are overloaded functions differentiated by the compiler?,by their function signature,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
557,How are overloaded functions differentiated by the compiler?,"They have the same name, just different parameters.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",3.5,0
558,How are overloaded functions differentiated by the compiler?,"They are differntiated by number, types and order of arguments in the function call.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
559,How are overloaded functions differentiated by the compiler?,"it looks at the number, types, and order of arguments in the function call","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
560,How are overloaded functions differentiated by the compiler?,The compiler differentiates overloaded functions by their signature.,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
561,How are overloaded functions differentiated by the compiler?,"By the number, types, and order of their arguments","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
562,How are overloaded functions differentiated by the compiler?,"Compiler selects proper function to execute based on number, types and order of arguments in the function call.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
563,How are overloaded functions differentiated by the compiler?,paremeters,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",4.5,1
564,How are overloaded functions differentiated by the compiler?,"By the number, and the types and order of the parameters.","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
565,How are overloaded functions differentiated by the compiler?,by the number and type of arguments,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",5.0,1
566,How are overloaded functions differentiated by the compiler?,"by their signaturereturn type, argument list","Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",4.0,1
567,How are overloaded functions differentiated by the compiler?,overloaded function simply invovles haing a method with the same name within the class. is used to implement a method for subclass which overrides in other words replaces the implementation of the super class. Overloading the concept of providing different meaning to a object based on the context of its presence. Overloading is one type of polymorphism and this is also a feature in programing.,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",3.0,0
568,"When defining a recursive function, what are possible causes for infinite recursion?","A base case that is the simplest case for a problem so that the function will lead to it, if this does not happen then it will end up as an infinite loop. And a condition to know when to terminate.","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
569,"When defining a recursive function, what are possible causes for infinite recursion?",badly designed algorithyms. using recursion for a non recursive problem.,"If the recursion step is defined incorrectly, or if the base case is not included.",2.5,0
570,"When defining a recursive function, what are possible causes for infinite recursion?",Infinite recursion can occur when the base case is omitted or the recursion step is written incorrectly so that it never converges on the base case.,"If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
571,"When defining a recursive function, what are possible causes for infinite recursion?","Infinite recursion is an infinite loop if the condition is not met. Either omitting the base case, or writing the recursion step incorrectly so that it does not converge on the base case causes indefinite recursion, eventually exhausting memory.","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
572,"When defining a recursive function, what are possible causes for infinite recursion?",Either omitting the base case or writing the recursion step incorrectly so that it does not converge on the base case can cause an infinite recursion.,"If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
573,"When defining a recursive function, what are possible causes for infinite recursion?",Not having a base case that returns a base value.,"If the recursion step is defined incorrectly, or if the base case is not included.",4.0,1
574,"When defining a recursive function, what are possible causes for infinite recursion?",Incorrect or missing base case. Must reduce to the base case. The function must get simpler each time it is runconverge to the base case.,"If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
575,"When defining a recursive function, what are possible causes for infinite recursion?",no base case no change in values.,"If the recursion step is defined incorrectly, or if the base case is not included.",4.5,1
576,"When defining a recursive function, what are possible causes for infinite recursion?","If at each recursive call the problem does not diminish or if it does not diminish to a base case, can cause infinite recursion.","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
577,"When defining a recursive function, what are possible causes for infinite recursion?",Omitting the base case or incorrectly calling the recursive step.,"If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
578,"When defining a recursive function, what are possible causes for infinite recursion?",The recursive problem cannot be reduced to reach the base case.,"If the recursion step is defined incorrectly, or if the base case is not included.",4.5,1
579,"When defining a recursive function, what are possible causes for infinite recursion?","Lack of defining a base case, or writing the recursion step incorrectly so that it does not converge on the base case","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
580,"When defining a recursive function, what are possible causes for infinite recursion?",Not having the proper case to leave the recursion,"If the recursion step is defined incorrectly, or if the base case is not included.",4.0,1
581,"When defining a recursive function, what are possible causes for infinite recursion?","no base case, or the recursive calls do not converge to the base case","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
582,"When defining a recursive function, what are possible causes for infinite recursion?","No base case, or an incorrectly written recursion step that does not converge on the base case will lead to infinite recursion.","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
583,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion function never reaches or successfully defines the base case it will recurse forever. This happens many ways, such as the function does not progress towards the base case, or the function is coded poorly and does not even contain a base case.","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
584,"When defining a recursive function, what are possible causes for infinite recursion?","not creating a base case, or in the case where the base case will never be met.","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
585,"When defining a recursive function, what are possible causes for infinite recursion?",improper handling of cases such that not all possible values are able to be handled.,"If the recursion step is defined incorrectly, or if the base case is not included.",3.5,0
586,"When defining a recursive function, what are possible causes for infinite recursion?",There is no base case. The recursion step does not reduce the problem during each recursive call.,"If the recursion step is defined incorrectly, or if the base case is not included.",4.5,1
587,"When defining a recursive function, what are possible causes for infinite recursion?","no base case, as in a single return that does not include calling the function again. a static value to end at.","If the recursion step is defined incorrectly, or if the base case is not included.",3.5,0
588,"When defining a recursive function, what are possible causes for infinite recursion?","Either omitting the base case, or writing the recursion step incorrectly so the it does not reach the base case can cause infinite recursion.","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
589,"When defining a recursive function, what are possible causes for infinite recursion?",omitting the base case or writing the recursive call so that it does not converge upon the base case.,"If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
590,"When defining a recursive function, what are possible causes for infinite recursion?","Either omitting the base case, or writing the recursion step incorrectly so that it does not converge on the base case","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
591,"When defining a recursive function, what are possible causes for infinite recursion?",Infinite recursion may occur if no base case is defined or if the call is not varied.,"If the recursion step is defined incorrectly, or if the base case is not included.",4.5,1
592,"When defining a recursive function, what are possible causes for infinite recursion?","Not having a base case, or building a recursion process that does not converge on the base case.","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
593,"When defining a recursive function, what are possible causes for infinite recursion?","Either omitting the base case, or writing the recursion step incorerectly","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
594,"When defining a recursive function, what are possible causes for infinite recursion?",no base case or if the programmar does not define the base case as the simplest case and it never gets reached,"If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
595,"When defining a recursive function, what are possible causes for infinite recursion?",No easily reached base case and no base case at all,"If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
596,"When defining a recursive function, what are possible causes for infinite recursion?",function is never allowed to reach the base case,"If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
597,"When defining a recursive function, what are possible causes for infinite recursion?","it has no base case, or the base case is never met","If the recursion step is defined incorrectly, or if the base case is not included.",5.0,1
598,"When defining a recursive function, what are possible causes for infinite recursion?",recursion refers to situations in which functions call themselves. These types of functions are known as recursive functions. That being said Infinite recursion occurs when the function is designed in such a way as to call it self forever without stopping possible causes,"If the recursion step is defined incorrectly, or if the base case is not included.",3.0,0
599,What are the similarities between iteration and recursion?,"Both involve a controlled repetition structures, and they both have a termination test. Also both of them can loop forever.",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
600,What are the similarities between iteration and recursion?,"As discussed earlier, recursion may be used to process iterative actions. Recursion is used for calculations where the answer can be described in a function that relates to itself.",They both involve repetition; they both have termination tests; they can both occur infinitely.,2.0,0
601,What are the similarities between iteration and recursion?,Both iteration and recursion are based on control statements and involve repetition. They can both also occur indefinitely.,They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
602,What are the similarities between iteration and recursion?,Both are based on a control statement Iteration-repetition structure Recursion-selection structure Both involve repetition Iteration-explicitly uses repetition structure Recursion-repeated function calls Both involve a termination test Iteration-loop-termination test Recursion-base case Both gradually approach termination Iteration-modifies counter until loop-termination test fails Recursion-produces progressively simpler versions of problem Both can occur indefinitely Iteration-if loop-continuation condition never fails Recursion-if recursion step does not simplify the problem,They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
603,What are the similarities between iteration and recursion?,"Iteration and recursion have many similarities: both are based on a control statement, involve repetition, involve a termination test, gradually approach termination and can occur infinitely.",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
604,What are the similarities between iteration and recursion?,"Both rely on repetition, both have a base case, both can become an infinite loop. Anything recursive can also be solved with iteration.",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
605,What are the similarities between iteration and recursion?,"Both will repeatloopuntil a condition is met, and exit the loop. Both are capable of entering an infinite loop.",They both involve repetition; they both have termination tests; they can both occur infinitely.,4.0,1
606,What are the similarities between iteration and recursion?,anything you can do iterativly you can do recursively,They both involve repetition; they both have termination tests; they can both occur infinitely.,3.0,0
607,What are the similarities between iteration and recursion?,Both are repetative and both have a end test.,They both involve repetition; they both have termination tests; they can both occur infinitely.,4.5,1
608,What are the similarities between iteration and recursion?,"Incorrectly writing either can result in infinite loops, both perform the same task over and over.",They both involve repetition; they both have termination tests; they can both occur infinitely.,3.5,0
609,What are the similarities between iteration and recursion?,Both are based on a control statement. Both involve repetition. Both involve a termination test. Both gradually approach termination. Both can occur infinitely.,They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
610,What are the similarities between iteration and recursion?,"Both are based on a control statement, Both involve repetition, Both involve a termination test, Both gradually approach termination, Both can occur infinitely",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
611,What are the similarities between iteration and recursion?,not answered,They both involve repetition; they both have termination tests; they can both occur infinitely.,0.0,0
612,What are the similarities between iteration and recursion?,anything you can do recursively you can do iteratively,They both involve repetition; they both have termination tests; they can both occur infinitely.,3.0,0
613,What are the similarities between iteration and recursion?,"Many problems can be solved by both iteration and recursion, and either may go into a condition of infinite execution if a termination test is omitted.",They both involve repetition; they both have termination tests; they can both occur infinitely.,3.5,0
614,What are the similarities between iteration and recursion?,"Iteration and recursion both use repetition and perform several simple operations and algorithms successively until they reach a certain limit. So both involve a termination test to find that limit and both slowly approach that termination limit. Both are based on a control statement as well. If coded poorly, both can continue on for forever until the compiler or the computer either locks up, shuts down or halts the operation.",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
615,What are the similarities between iteration and recursion?,"both based on control statement, involve repetition, and involve a termination test within loops",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
616,What are the similarities between iteration and recursion?,they are methods of repeating the same task.,They both involve repetition; they both have termination tests; they can both occur infinitely.,2.0,0
617,What are the similarities between iteration and recursion?,Both involve a termination test. They use a control statement and repition to solve the problem. They can also result in an infinite loop.,They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
618,What are the similarities between iteration and recursion?,"based on a control statement, involve repetition, involve a termination test.",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
619,What are the similarities between iteration and recursion?,Both are bases on a control statement. Both involve repetition. Both involve a termination test. Both gradually approach termination. Both can occur infinitely.,They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
620,What are the similarities between iteration and recursion?,"both based on a control statement, both involve repitition, both involve a termination test, both gradually approach termination, both can potentially occur infinetly.",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
621,What are the similarities between iteration and recursion?,"they are both based on a control statement, both involve repetition, both involve a termination case, both graduatlly approach that termination case, and both can occur infinitely",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
622,What are the similarities between iteration and recursion?,"They both use repetition, a control or test to terminate, and both can infinitely repeat if not defined correctly.",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
623,What are the similarities between iteration and recursion?,"Both are based on a control statement; both gradually approach termination ending with a termination test; both involve repetition, and can both repeat infinitely if their termination requirements are not met.",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
624,What are the similarities between iteration and recursion?,"both are based on a control statement, involve repetition and involve a termination test. both gradually approach termination, both can occur infinitely",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
625,What are the similarities between iteration and recursion?,they are used to solve the same type of problems. they do a task over and over again until a cirtain conditional statement is reachedits called the base case in recursion.,They both involve repetition; they both have termination tests; they can both occur infinitely.,3.5,0
626,What are the similarities between iteration and recursion?,Based on control statement; involve repetition; involve a terminal test; both can occur infinitly,They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
627,What are the similarities between iteration and recursion?,"repetition, termination test, eventually terminate, occur infinately",They both involve repetition; they both have termination tests; they can both occur infinitely.,5.0,1
628,What are the similarities between iteration and recursion?,both need to have some kind of base case to tell when the loop needs to stop.,They both involve repetition; they both have termination tests; they can both occur infinitely.,3.0,0
629,What are the similarities between iteration and recursion?,"they both are able to do repetiive tasks. however recurisve calls itself with different parameters and defines and exit clause that is guaranteeed to be reached. Iterative includes a loop which iterates a pre-determined number of times, or checks for an exit clause every time through",They both involve repetition; they both have termination tests; they can both occur infinitely.,3.5,0
630,What are the two different ways of specifying the length of an array?,int n [10]; or or array of 10 integers and int n [arraySize] or or where arraySize is some positive integer defined by the user,"In the array declaration, or by using an initializer list.",4.0,1
631,What are the two different ways of specifying the length of an array?,by either inputing the different elements in the array at coding or giving the array specifacations as to the size of the array. it is also possible when giving it specifacations to tell the array to grow as needed.,"In the array declaration, or by using an initializer list.",4.0,1
632,What are the two different ways of specifying the length of an array?,You can initialize and array by using an initializer list in its declaration or by initializing its size with a constant variable.,"In the array declaration, or by using an initializer list.",5.0,1
633,What are the two different ways of specifying the length of an array?,Pass the length along with the array or use a vector.,"In the array declaration, or by using an initializer list.",3.0,0
634,What are the two different ways of specifying the length of an array?,"One way is to declare a size of the array using a variable that is equal to an integer. The other way, if the size is omitted in the declaration, the compiler determines the size of the array based on the size of the initializer list.","In the array declaration, or by using an initializer list.",5.0,1
635,What are the two different ways of specifying the length of an array?,"In the declarationint array [x]or with an initilizerint array [] equals 0,1,2, etc.","In the array declaration, or by using an initializer list.",5.0,1
636,What are the two different ways of specifying the length of an array?,"1. Declare the length of the arrayint array [10];2. Initialize the arrayint array [] equals 0, 1, 2, 3; or or compiler will assume size of 4","In the array declaration, or by using an initializer list.",5.0,1
637,What are the two different ways of specifying the length of an array?,statically and dynamically,"In the array declaration, or by using an initializer list.",2.5,0
638,What are the two different ways of specifying the length of an array?,Explicitly int array [10]; or by variable const int size equals 10; int array [size];,"In the array declaration, or by using an initializer list.",4.0,1
639,What are the two different ways of specifying the length of an array?,"Array lengths can be explicitly specified by inputing the number of elements between the brackets [] during declaration, or implicitly by including an initializer list WITHOUT specifying a number between [], the compiler will automatically declare the array with the proper number of elements needed for the list.","In the array declaration, or by using an initializer list.",5.0,1
640,What are the two different ways of specifying the length of an array?,Specify an array s size with a constant variable. And setting array elements with calculations.,"In the array declaration, or by using an initializer list.",3.5,0
641,What are the two different ways of specifying the length of an array?,"statically, using and dynamically, using []","In the array declaration, or by using an initializer list.",4.0,1
642,What are the two different ways of specifying the length of an array?,"define it as array [5] or array [1,2,3,4,5]","In the array declaration, or by using an initializer list.",4.5,1
643,What are the two different ways of specifying the length of an array?,Static and dynamic.,"In the array declaration, or by using an initializer list.",2.5,0
644,What are the two different ways of specifying the length of an array?,manually inside the brackets or automatically via an initializer list,"In the array declaration, or by using an initializer list.",5.0,1
645,What are the two different ways of specifying the length of an array?,"You can use an initializer list, or simply tell the compiler how many elements you want in the array. For an Initializer list: int a [] equals 10, 2, 3, 4, 5; For an elemental declaration: int b [5]; Both arrays have 5 elements in them, but array a is already initialized.","In the array declaration, or by using an initializer list.",5.0,1
646,What are the two different ways of specifying the length of an array?,"In a string you can specify with the strlenarraynamecommand. This gets the length of the string. Another way is with integers where you initiate the size from the start, ex array [40] specifying a possible length of up to 40. Then it is passed by an object the actual ammout in the array. Another way is to declare it in an initializing program.","In the array declaration, or by using an initializer list.",4.5,1
647,What are the two different ways of specifying the length of an array?,"Implicit, namely when you give it values, like 1,2,3,4,5,6,7,8,9, at which the compiler will automatically give this a size. Static, during the declaration.","In the array declaration, or by using an initializer list.",5.0,1
648,What are the two different ways of specifying the length of an array?,"Supply an integer inside the brackets or the compiler counts the number of elements in the initializer list. int n [5]; int n [] equals 1,2,3,4,5","In the array declaration, or by using an initializer list.",5.0,1
649,What are the two different ways of specifying the length of an array?,either initializing the array with a specific length or initializing an array while declaring its contents.,"In the array declaration, or by using an initializer list.",5.0,1
650,What are the two different ways of specifying the length of an array?,within the brackets or by using an initializer list.,"In the array declaration, or by using an initializer list.",5.0,1
651,What are the two different ways of specifying the length of an array?,specify the number of elements in the array declaration with a constant or using a constant variable for future scalability,"In the array declaration, or by using an initializer list.",4.0,1
652,What are the two different ways of specifying the length of an array?,with a number and with a variable,"In the array declaration, or by using an initializer list.",3.0,0
